item_id,유형,보증금,월세,주소,관리비,층수,평수,형태
37994151,월세,5000,40,서울시 광진구 화양동,5,4,16.53,원룸
38010386,월세,1000,69,서울시 광진구 화양동,1,3,39.67,빌라
38001200,월세,1000,70,서울시 광진구 화양동,0,3,44.63,빌라
38004390,월세,1000,70,서울시 광진구 화양동,0,3,49.59,빌라
37966669,월세,500,55,서울시 광진구 화양동,0,3,20.17,원룸
38050413,월세,1000,60,서울시 광진구 화양동,7,5,19.83,원룸
37947707,월세,1000,100,서울시 광진구 화양동,10,3,39.67,빌라
37944561,월세,1000,100,서울시 광진구 화양동,10,3,39.67,빌라
37959310,월세,1000,100,서울시 광진구 화양동,10,3,36.36,원룸
38080145,월세,1000,67,서울시 광진구 화양동,6,4,19.83,원룸
38070210,월세,2000,140,서울시 광진구 화양동,5,3,79.34,빌라
37866514,월세,8000,10,서울시 광진구 화양동,3,3,16.53,원룸
37930122,월세,500,45,서울시 광진구 화양동,3,반지하,20.17,원룸
38095522,월세,1000,85,서울시 광진구 화양동,5,2,39.67,빌라
37776822,월세,500,40,서울시 광진구 화양동,3,반지하,16.53,원룸
38088551,월세,500,50,서울시 광진구 화양동,0,옥탑방,19.83,원룸
38089700,월세,500,50,서울시 광진구 화양동,0,옥탑방,19.83,원룸
37798081,월세,1000,110,서울시 광진구 화양동,5,3,52.89,빌라
38089834,월세,5000,40,서울시 광진구 화양동,10,3,16.53,원룸
38084072,월세,5000,50,서울시 광진구 화양동,5,3,21.49,원룸
38004373,월세,1000,45,서울시 광진구 화양동,3,반지하,16.53,원룸
37856501,월세,1000,65,서울시 광진구 화양동,10,4,16.53,원룸
37949530,월세,1000,65,서울시 광진구 화양동,10,4,19.8347,원룸
37972778,월세,1000,65,서울시 광진구 화양동,8,4,16.53,원룸
38087838,월세,1000,65,서울시 광진구 화양동,10,4,16.52,원룸
38004594,월세,500,50,서울시 광진구 화양동,3,1,19.83,원룸
37918385,월세,500,45,서울시 광진구 화양동,3,반지하,19.83,원룸
37918479,월세,1000,40,서울시 광진구 화양동,3,반지하,19.83,원룸
38037602,월세,2000,55,서울시 광진구 화양동,10,4,24.82,원룸
38079992,월세,2000,55,서울시 광진구 화양동,5,4,19.83,원룸
38091977,월세,2000,55,서울시 광진구 화양동,5,4,19.83,원룸
38056884,월세,500,55,서울시 광진구 화양동,3,옥탑방,19.83,원룸
38080998,월세,500,55,서울시 광진구 화양동,3,옥탑방,23.14,원룸
38044210,월세,500,65,서울시 광진구 화양동,5,반지하,34.71,빌라
38092798,월세,500,55,서울시 광진구 화양동,5,5,19.83,원룸
38088435,월세,500,55,서울시 광진구 화양동,5,4,19.83,원룸
38079215,월세,3000,140,서울시 광진구 화양동,9,4,74.38,빌라
38023304,월세,3000,38,서울시 광진구 화양동,7,3,16.53,원룸
38023546,월세,3000,38,서울시 광진구 화양동,7,3,13.22,원룸
38039519,월세,500,45,서울시 광진구 화양동,7,1,16.53,원룸
38088569,월세,3000,38,서울시 광진구 화양동,7,3,13.22,원룸
37876699,월세,1000,55,서울시 광진구 화양동,2,3,20.17,원룸
37997462,월세,500,43,서울시 광진구 화양동,2,반지하,19.5,원룸
38002464,월세,1000,55,서울시 광진구 화양동,2,3,20.17,원룸
38004831,월세,1000,55,서울시 광진구 화양동,2,2,18.18,원룸
38094385,월세,1000,57,서울시 광진구 화양동,0,3,16.53,원룸
38093650,월세,500,45,서울시 광진구 화양동,0,옥탑방,19.83,원룸
38057886,월세,3000,35,서울시 광진구 화양동,5,2,19.83,원룸
38041068,월세,3000,35,서울시 광진구 화양동,5,반지하,23.14,원룸
37581852,월세,300,48,서울시 광진구 화양동,2,3,13.22,원룸
37990560,월세,500,55,서울시 광진구 화양동,3,3,16.53,원룸
38037549,월세,10000,10,서울시 광진구 화양동,3,4,19.83,원룸
38018286,월세,300,46,서울시 광진구 화양동,1,1,19.83,원룸
38061334,월세,500,45,서울시 광진구 화양동,3,반지하,19.83,원룸
38042018,월세,500,50,서울시 광진구 화양동,0,1,19.83,원룸
38018445,월세,7000,65,서울시 광진구 화양동,1,1,36.36,빌라
38077134,월세,10000,45,서울시 광진구 화양동,10,3,49.59,원룸
38010492,월세,1000,100,서울시 광진구 화양동,0,1,36.36,빌라
38064764,월세,1000,100,서울시 광진구 화양동,3,1,44.63,빌라
37904089,월세,10000,50,서울시 광진구 화양동,3,3,54.55,빌라
38054628,월세,2000,68,서울시 광진구 화양동,5,반지하,39.67,빌라
38082384,월세,500,50,서울시 광진구 화양동,3,반지하,23.14,원룸
38093439,월세,3000,25,서울시 광진구 화양동,3,반지하,19.83,원룸
37970062,월세,1000,45,서울시 광진구 화양동,7,반지하,16.5,원룸
38070078,월세,1000,50,서울시 광진구 화양동,6,옥탑방,19.83,원룸
37980064,월세,2000,85,서울시 광진구 화양동,5,2,49.43,빌라
37893853,월세,15000,50,서울시 광진구 화양동,10,옥탑방,62.81,빌라
37997125,월세,15000,50,서울시 광진구 화양동,10,옥탑방,52.89,빌라
38010668,월세,2000,80,서울시 광진구 화양동,0,3,39.01,빌라
38090313,월세,500,67,서울시 광진구 화양동,3,4,23.47,원룸
38090420,월세,500,67,서울시 광진구 화양동,3,옥탑방,23.0,원룸
38092400,월세,500,67,서울시 광진구 화양동,3,옥탑방,23.14,원룸
38092573,월세,500,67,서울시 광진구 화양동,3,옥탑방,19.83,원룸
38092737,월세,500,67,서울시 광진구 화양동,3,옥탑방,19.83,원룸
37908822,월세,500,65,서울시 광진구 화양동,3,3,26.4463,원룸
38076961,월세,300,52,서울시 광진구 화양동,3,옥탑방,21.49,원룸
38059298,월세,3000,45,서울시 광진구 화양동,6,2,23.14,원룸
38070844,월세,3000,45,서울시 광진구 화양동,6,2,19.83,원룸
38053873,월세,4000,40,서울시 광진구 화양동,6,2,21.5,원룸
38063205,월세,3000,45,서울시 광진구 화양동,6,2,16.53,원룸
37706641,월세,1000,60,서울시 광진구 화양동,5,반지하,31.4,빌라
37732793,월세,3000,50,서울시 광진구 화양동,5,반지하,39.67,원룸
37741716,월세,1000,60,서울시 광진구 화양동,3,반지하,34.71,빌라
37935640,월세,1000,35,서울시 광진구 화양동,5,3,13.22,원룸
37928617,월세,300,47,서울시 광진구 화양동,3,반지하,18.18,원룸
38083632,월세,300,45,서울시 광진구 화양동,2,반지하,16.53,원룸
38011835,월세,500,57,서울시 광진구 화양동,3,옥탑방,18.18,원룸
38065096,월세,500,57,서울시 광진구 화양동,3,3,16.1,원룸
38060075,월세,500,47,서울시 광진구 화양동,3,3,16.53,원룸
38006736,월세,1000,67,서울시 광진구 화양동,3,반지하,46.28,빌라
38039823,월세,500,50,서울시 광진구 화양동,3,반지하,39.67,빌라
38068914,월세,17000,10,서울시 광진구 화양동,3,1,42.98,빌라
38078692,월세,2000,30,서울시 광진구 화양동,5,1,13.22,원룸
37931452,월세,300,52,서울시 광진구 화양동,3,옥탑방,19.83,원룸
38064234,월세,10000,35,서울시 광진구 화양동,5,3,29.75,원룸
38093701,월세,1000,50,서울시 광진구 화양동,9,3,16.53,원룸
38093845,월세,1000,80,서울시 광진구 화양동,9,1,23.14,원룸
37759576,월세,3000,230,서울시 광진구 화양동,15,10,39.67,오피스텔
37862930,월세,5000,220,서울시 광진구 화양동,15,8,62.81,오피스텔
37910376,월세,2000,150,서울시 광진구 화양동,12,9,32.86,오피스텔
37927205,월세,5000,230,서울시 광진구 화양동,15,9,63.73,오피스텔
37942379,월세,2000,160,서울시 광진구 화양동,15,11,45.84,오피스텔
37983213,월세,2000,150,서울시 광진구 화양동,12,9,43.64,오피스텔
38020081,월세,2000,150,서울시 광진구 화양동,11,9,45.12,오피스텔
38088231,월세,3000,220,서울시 광진구 화양동,10,5,48.1,오피스텔
37904254,월세,10000,25,서울시 광진구 화양동,10,2,19.83,원룸
